丨,0,20000
亅,1,20000
乀,2,70030
乁,3,17030
丿,4,20000
一,5,10000
乙,6,17710
乛,7,17000
乚,8,20710
丶,9,30000
,10,17020
丩,11,22700
乃,12,17227
乂,13,40000
乄,14,40200
九,15,40017
,16,72200
,17,80000
,18,27020
了,19,17207
,20,17302
丁,21,10200
七,22,40710
丂,23,10027
丆,24,10200
丄,25,20100
丅,26,10200
乜,27,40712
丷,28,80000
八,29,80000
勹,30,27020
匕,31,22710
冫,32,30100
卜,33,23000
厂,34,71200
刀,35,17220
刁,36,17120
刂,37,22000
儿,38,22010
二,39,10100
匚,40,71710
阝,41,77227
几,42,77210
卩,43,77220
冂,44,77220
力,45,40027
冖,46,37020
凵,47,22770
人,48,80000
亻,49,20200
入,50,80000
十,51,40000
厶,52,20730
亠,53,00000
匸,54,71710
讠,55,30700
廴,56,10400
又,57,77400
,58,17010
,59,77712
丬,60,32100
丫,61,80207
亇,62,27202
久,63,27800
么,64,20732
乇,65,20710
乆,66,28000
丸,67,50017
乊,68,20320
万,69,10227
三,70,10101
上,71,21100
下,72,10230
与,73,21127
丈,74,50000
丌,75,10220
乞,76,80717
习,77,17120
乡,78,20202
也,79,44712
之,80,30302
义,81,40003
,82,90000
勺,83,27320
刃,84,17320
刄,85,17440
兀,86,10212
兀,87,10212
亍,88,10201
亏,89,10027
于,90,10400
亐,91,10027
凡,92,77210
凣,93,27212
凢,94,27212
卫,95,17102
卪,96,77220
劜,97,42010
个,98,80200
亾,99,28710
亼,100,80100
亽,101,80300
亿,102,27210
兦,103,28710
千,104,20400
卄,105,44000
卂,106,17410
亡,107,00710
叉,108,77403
及,109,17247
艹,110,44000
屮,111,22400
彳,112,20202
巛,113,72037
巜,114,22337
川,115,22000
辶,116,39300
寸,117,40300
大,118,40800
夨,119,27804
飞,120,12013
干,121,10400
工,122,10102
弓,123,17027
廾,124,44000
广,125,00200
己,126,17717
已,127,17717
彐,128,17170
彑,129,27102
巾,130,40227
口,131,60000
马,132,77127
门,133,37001
宀,134,30320
女,135,40400
犭,136,40200
山,137,22770
彡,138,20202
尸,139,77207
饣,140,27700
士,141,40100
才,142,40200
扌,143,50000
氵,144,30103
纟,145,20101
巳,146,77717
土,147,40100
囗,148,60000
夕,149,27200
小,150,90000
忄,151,90000
幺,152,20732
弋,153,43000
尢,154,40012
夂,155,27400
夊,156,47400
孑,157,17407
孓,158,17407
子,159,17407
孒,160,17217
卝,161,11220
丰,162,50000
中,163,50006
丮,164,17510
丯,165,50000
,166,50100
乏,167,20302
乌,168,27127
丹,169,77440
,170,20500
予,171,17202
书,172,53027
乤,173,10717
乥,174,20717
无,175,10412
不,176,10900
丑,177,17102
丐,178,10027
丏,179,10027
专,180,50302
丒,181,17102
乢,182,22710
乣,183,22710
为,184,34027
公,185,80732
六,186,00800
兮,187,80027
勾,188,27720
勼,189,27420
勿,190,27222
匀,191,27120
勽,192,27820
匂,193,27720
勻,194,27120
匁,195,27440
卞,196,00230
厄,197,71212
历,198,71227
厅,199,71221
厃,200,27201
切,201,47720
刅,202,17330
分,203,80227
刈,204,42000
兂,205,50212
允,206,23212
元,207,10212
互,208,10102
井,209,55000
亓,210,10221
五,211,10102
云,212,10732
亖,213,10101
区,214,71714
匹,215,71711
邓,216,77427
队,217,78200
阞,218,74227
邒,219,17227
兯,220,80227
凤,221,77210
卬,222,77720
冈,223,77220
冇,224,40227
内,225,40227
冄,226,77550
罓,227,77220
冃,228,77220
円,229,77220
办,230,40330
劝,231,74427
冗,232,37217
冘,233,40012
,234,77212
凶,235,22770
仓,236,80712
从,237,88000
介,238,80220
今,239,80207
仑,240,80712
以,241,28700
仄,242,71280
仌,243,80800
仒,244,80303
仐,245,80400
化,246,24210
仇,247,24217
仃,248,21220
仅,249,27240
仂,250,24227
仆,251,23200
仁,252,21210
仍,253,27227
什,254,24200
仉,255,27210
仈,256,28200
仏,257,22230
內,258,40227
卅,259,44000
升,260,24400
卐,261,21127
午,262,80400
卍,263,12217
卆,264,40401
厷,265,40732
厸,266,22730
厹,267,40732
亢,268,00217
亣,269,30221
订,270,31720
讣,271,33700
讥,272,37710
计,273,34700
认,274,38700
反,275,72247
双,276,77440
友,277,40407
収,278,27740
艺,279,44717
,280,44100
屯,281,50717
辷,282,31300
夭,283,20804
夫,284,50800
夬,285,50800
太,286,40030
天,287,10804
巨,288,71717
引,289,12200
弔,290,17527
弖,291,17102
开,292,10440
廿,293,44770
币,294,20227
巿,295,50227
帀,296,10227
闩,297,37101
屲,298,20772
尺,299,77807
尹,300,17507
壬,301,20104
扎,302,52010
巴,303,77717
圡,304,40103
圠,305,42110
少,306,90200
尐,307,90300
忆,308,97010
禸,309,40227
,310,33000
幻,311,27720
弌,312,43100
尤,313,43012
夃,314,17227
孔,315,12410
贝,316,77802
比,317,22710
灬,318,33000
长,319,42730
车,320,40500
歹,321,10207
斗,322,34000
方,323,00227
风,324,77210
父,325,80400
戈,326,53000
户,327,30207
戶,328,20207
戸,329,10207
火,330,90800
旡,331,71412
见,332,77212
斤,333,72221
耂,334,44000
毛,335,20714
木,336,40900
朩,337,40900
肀,338,50007
牛,339,25000
牜,340,25000
爿,341,22200
片,342,22027
攵,343,80400
攴,344,21407
气,345,80017
欠,346,27802
犬,347,43800
日,348,60100
氏,349,72740
礻,350,30203
手,351,20500
殳,352,77407
水,353,12900
瓦,354,10717
尣,355,80212
王,356,10104
韦,357,50027
文,358,00400
毌,359,77740
毋,360,77550
心,361,33000
牙,362,71240
爻,363,40400
曰,364,60100
月,365,77220
爫,366,20900
支,367,40407
止,368,21100
爪,369,72230
丱,370,22770
卡,371,21231
册,372,77440
玍,373,20104
乎,374,20409
乐,375,72904
乍,376,80211
丘,377,72102
业,378,32100
丙,379,10227
东,380,40904
且,381,77102
丕,382,10109
世,383,44717
丗,384,44770
丛,385,88100
丝,386,22101
乧,387,34717
乬,388,71717
主,389,00104
丼,390,55000
包,391,27712
匆,392,27420
匃,393,27720
匄,394,27720
匇,395,27220
北,396,12110
冯,397,37127
冮,398,31112
冭,399,40103
卟,400,63000
卢,401,21207
占,402,21600
厉,403,71227
厈,404,71241
厇,405,71214
刍,406,27177
刌,407,42300
刊,408,12400
刉,409,82700
刋,410,22400
兄,411,60212
亗,412,22101
匜,413,71711
匝,414,71712
匞,415,71711
匛,416,71718
邗,417,17427
邝,418,07227
邙,419,07727
阡,420,72240
邛,421,17127
阢,422,71212
邘,423,17427
邚,424,47427
阣,425,78217
邔,426,17727
邖,427,27727
阤,428,74212
邜,429,27227
阠,430,77210
兰,431,80101
処,432,27401
凥,433,77217
